          PRES      TMPC      DWPC
       1021.00     14.80     10.80
       1015.00     14.80     10.90
        929.00      8.00      6.70
        920.00      8.00      4.10
        911.00      8.00      3.40
        893.00      8.20     -3.80
        888.00      9.20     -6.80
        883.00      9.60     -7.40
        874.00      8.80     -3.20
        839.00      7.60     -4.40
        831.00      7.40     -9.60
        811.00      6.80     -5.20
        793.00      6.00     -6.00
        782.00      6.00    -11.00
        726.00      2.20    -15.80
        700.00      1.00    -22.00
        689.00      0.20    -12.80
        674.00     -0.50    -15.50
        669.00     -0.10    -16.10
        664.00      1.60    -21.40
        659.00      2.20    -21.80
        642.00      2.40    -22.60
        582.00     -2.70    -26.70
        545.00     -6.90    -29.90
        505.00    -10.10    -30.10
        457.00    -16.70    -34.70
        413.00    -21.30    -37.30
        391.00    -23.90    -28.90
        348.00    -29.10    -37.10
        237.00    -51.90    -58.90
        221.00    -55.30    -62.30
        204.00    -57.90    -64.90
        200.00    -56.70    -63.70
        195.00    -57.50    -64.50
        192.00    -56.90    -63.90
        187.00    -57.50    -64.50
        184.00    -56.50    -63.50
        181.00    -56.90    -63.90
        176.00    -55.70    -62.70
        168.00    -56.50    -63.50
        157.00    -55.70    -62.70
        144.00    -58.30    -65.30
        134.00    -61.90    -68.90
        132.00    -61.70    -68.70
        130.00    -60.50    -67.50
        126.00    -61.10    -68.10
        118.00    -60.10    -67.10
        109.00    -61.10    -68.10
